image,class,width,height,xmin,ymin,xmax,ymax
frame_0011.jpg,177,98,hand,647,453,824,551
frame_0011.jpg,107,112,hand,515,431,622,543
frame_0036.jpg,159,86,hand,697,478,856,564
frame_0036.jpg,122,252,hand,432,460,554,712
frame_0099.jpg,171,99,hand,790,619,961,718
frame_0099.jpg,181,114,hand,730,406,911,520
frame_0099.jpg,126,120,hand,591,375,717,495
frame_0113.jpg,171,103,hand,653,423,824,526
frame_0113.jpg,119,116,hand,526,395,645,511
frame_0176.jpg,173,109,hand,610,432,783,541
frame_0176.jpg,161,132,hand,439,387,600,519
frame_0183.jpg,191,111,hand,587,444,778,555
frame_0183.jpg,144,146,hand,445,394,589,540
frame_0184.jpg,184,120,hand,616,444,800,564
frame_0184.jpg,156,150,hand,457,394,613,544
frame_0187.jpg,189,108,hand,656,460,845,568
frame_0187.jpg,143,143,hand,517,387,660,530
frame_0189.jpg,187,102,hand,649,453,836,555
frame_0189.jpg,145,138,hand,510,384,655,522
frame_0206.jpg,185,108,hand,639,439,824,547
frame_0206.jpg,119,125,hand,477,362,596,487
frame_0229.jpg,180,93,hand,649,437,829,530
frame_0229.jpg,116,124,hand,519,394,635,518
frame_0241.jpg,190,109,hand,666,402,856,511
frame_0241.jpg,121,128,hand,546,383,667,511
frame_0295.jpg,176,105,hand,645,417,821,522
frame_0295.jpg,118,127,hand,513,384,631,511
frame_0316.jpg,136,37,hand,575,681,711,718
frame_0316.jpg,174,98,hand,658,429,832,527
frame_0316.jpg,128,127,hand,484,370,612,497
frame_0324.jpg,160,87,hand,486,631,646,718
frame_0324.jpg,168,99,hand,664,456,832,555
frame_0324.jpg,132,136,hand,482,387,614,523
frame_0333.jpg,180,112,hand,672,460,852,572
frame_0333.jpg,147,137,hand,517,387,664,524
frame_0381.jpg,178,107,hand,647,428,825,535
frame_0381.jpg,117,124,hand,510,378,627,502
frame_0384.jpg,172,103,hand,645,429,817,532
frame_0384.jpg,135,136,hand,503,371,638,507
frame_0484.jpg,166,37,hand,651,681,817,718
frame_0484.jpg,186,97,hand,631,355,817,452
frame_0484.jpg,119,120,hand,510,311,629,431
frame_0580.jpg,169,116,hand,627,363,796,479
frame_0580.jpg,133,258,hand,461,407,594,665
frame_0611.jpg,190,104,hand,642,353,832,457
frame_0611.jpg,137,130,hand,506,318,643,448
frame_0647.jpg,176,102,hand,587,380,763,482
frame_0647.jpg,147,129,hand,437,336,584,465
frame_0649.jpg,171,101,hand,575,386,746,487
frame_0649.jpg,151,127,hand,420,341,571,468
frame_0752.jpg,170,112,hand,622,363,792,475
frame_0752.jpg,128,118,hand,497,336,625,454
frame_0781.jpg,170,107,hand,612,390,782,497
frame_0781.jpg,149,126,hand,449,320,598,446
frame_0815.jpg,167,114,hand,600,392,767,506
frame_0815.jpg,152,136,hand,441,329,593,465
frame_0831.jpg,166,112,hand,625,379,791,491
frame_0831.jpg,125,115,hand,489,346,614,461
frame_0906.jpg,164,108,hand,605,399,769,507
frame_0906.jpg,143,119,hand,455,366,598,485
frame_0912.jpg,134,104,hand,616,399,750,503
frame_0912.jpg,175,129,hand,441,346,616,475
frame_0941.jpg,182,112,hand,583,404,765,516
frame_0941.jpg,151,104,hand,451,371,602,475
frame_0954.jpg,247,64,hand,568,654,815,718
frame_0954.jpg,181,109,hand,643,403,824,512
frame_0954.jpg,158,112,hand,513,375,671,487
frame_0988.jpg,156,115,hand,598,382,754,497
frame_0988.jpg,145,103,hand,468,371,613,474
frame_1009.jpg,138,123,hand,608,370,746,493
frame_1009.jpg,126,135,hand,391,367,517,502
frame_1024.jpg,128,134,hand,600,355,728,489
frame_1024.jpg,163,126,hand,457,324,620,450
frame_1051.jpg,230,158,hand,759,560,989,718
frame_1051.jpg,142,134,hand,697,345,839,479
frame_1051.jpg,162,99,hand,559,349,721,448
frame_1087.jpg,174,131,hand,592,376,766,507
frame_1087.jpg,127,122,hand,441,371,568,493
frame_1106.jpg,118,139,hand,676,409,794,548
frame_1106.jpg,134,161,hand,406,413,540,574
frame_1133.jpg,147,124,hand,630,470,777,594
frame_1133.jpg,163,128,hand,449,446,612,574
frame_1164.jpg,134,137,hand,645,436,779,573
frame_1164.jpg,190,144,hand,447,386,637,530
frame_1196.jpg,133,140,hand,651,407,784,547
frame_1196.jpg,165,169,hand,423,395,588,564
frame_1232.jpg,117,174,hand,695,441,812,615
frame_1232.jpg,161,152,hand,389,424,550,576
frame_1262.jpg,46,28,hand,729,689,775,717
frame_1262.jpg,146,160,hand,658,470,804,630
frame_1262.jpg,135,153,hand,298,452,433,605
frame_1279.jpg,196,156,hand,344,560,540,716
frame_1279.jpg,186,166,hand,697,552,883,718
frame_1279.jpg,150,125,hand,638,461,788,586
frame_1279.jpg,179,179,hand,319,411,498,590
frame_1294.jpg,197,95,hand,445,623,642,718
frame_1294.jpg,193,59,hand,650,659,843,718
frame_1294.jpg,141,164,hand,716,409,857,573
frame_1294.jpg,134,155,hand,313,408,447,563
frame_1317.jpg,205,87,hand,404,631,609,718
frame_1317.jpg,175,64,hand,629,654,804,718
frame_1317.jpg,186,154,hand,604,452,790,606
frame_1317.jpg,135,131,hand,445,429,580,560
frame_1338.jpg,173,157,hand,501,561,674,718
frame_1338.jpg,60,74,hand,711,640,771,714
frame_1338.jpg,191,149,hand,642,432,833,581
frame_1338.jpg,135,166,hand,502,386,637,552
frame_1340.jpg,179,160,hand,488,557,667,717
frame_1340.jpg,47,66,hand,693,652,740,718
frame_1340.jpg,198,157,hand,630,433,828,590
frame_1340.jpg,121,163,hand,503,396,624,559
frame_1344.jpg,200,198,hand,525,518,725,716
frame_1344.jpg,76,84,hand,683,634,759,718
frame_1344.jpg,199,156,hand,645,412,844,568
frame_1344.jpg,134,159,hand,503,371,637,530
frame_1362.jpg,269,159,hand,431,557,700,716
